no,nutrients_name,unit,age,female,male,,,
1,エネルギー（kcal）,kcal,0～5(月),550,500,,,
2,エネルギー（kcal）,kcal,6～8(月),650,600,,,
3,エネルギー（kcal）,kcal,9～11(月),700,650,,,
4,エネルギー（kcal）,kcal,1～2(歳),950,900,,,
5,エネルギー（kcal）,kcal,3～5(歳),"1,300","1,250",,,
6,エネルギー（kcal）,kcal,6～7(歳),"1,550","1,450",,,
7,エネルギー（kcal）,kcal,8～9(歳),"1,850","1,700",,,
8,エネルギー（kcal）,kcal,10～11(歳),"2,250","2,100",,,
9,エネルギー（kcal）,kcal,12～14(歳),"2,600","2,400",,,
10,エネルギー（kcal）,kcal,15～17(歳),"2,800","2,300",,,
11,エネルギー（kcal）,kcal,18～29(歳),"2,650","2,000",,,
12,エネルギー（kcal）,kcal,30～49(歳),"2,700","2,050",,,
13,エネルギー（kcal）,kcal,50～64(歳),"2,600","1,950",,,
14,エネルギー（kcal）,kcal,65～74(歳),"2,400","1,850",,,
15,エネルギー（kcal）,kcal,75～999(歳),"2,100","1,650",,,
16,たんぱく質,g,0～5(月),10,10,,,
17,たんぱく質,g,6～8(月),15,15,,,
18,たんぱく質,g,9～11(月),25,25,,,
19,たんぱく質,g,1～2(歳),20,20,,,
20,たんぱく質,g,3～5(歳),25,25,,,
21,たんぱく質,g,6～7(歳),30,30,,,
22,たんぱく質,g,8～9(歳),40,40,,,
23,たんぱく質,g,10～11(歳),45,50,,,
24,たんぱく質,g,12～14(歳),60,55,,,
25,たんぱく質,g,15～17(歳),65,55,,,
26,たんぱく質,g,18～29(歳),65,50,,,
27,たんぱく質,g,30～49(歳),65,50,,,
28,たんぱく質,g,50～64(歳),65,50,,,
29,たんぱく質,g,65～74(歳),60,50,,,
30,たんぱく質,g,75～999(歳),60,50,,,
31,脂質,％エネルギー,0～5(月),50,50,,,
32,脂質,％エネルギー,6～11(月),40,40,,,
33,脂質,％エネルギー,1～2(歳),25,25,,,
34,脂質,％エネルギー,3～5(歳),25,25,,,
35,脂質,％エネルギー,6～7(歳),25,25,,,
36,脂質,％エネルギー,8～9(歳),25,25,,,
37,脂質,％エネルギー,10～11(歳),25,25,,,
38,脂質,％エネルギー,12～14(歳),25,25,,,
39,脂質,％エネルギー,15～17(歳),25,25,,,
40,脂質,％エネルギー,18～29(歳),25,25,,,
41,脂質,％エネルギー,30～49(歳),25,25,,,
42,脂質,％エネルギー,50～64(歳),25,25,,,
43,脂質,％エネルギー,65～74(歳),25,25,,,
44,脂質,％エネルギー,75～999(歳),25,25,,,
45,飽和脂肪酸,％エネルギー,0～5(月),0,0,,,
46,飽和脂肪酸,％エネルギー,6～11(月),0,0,,,
47,飽和脂肪酸,％エネルギー,1～2(歳),0,0,,,
48,飽和脂肪酸,％エネルギー,3～5(歳),10,10,,,
49,飽和脂肪酸,％エネルギー,6～7(歳),10,10,,,
50,飽和脂肪酸,％エネルギー,8～9(歳),10,10,,,
51,飽和脂肪酸,％エネルギー,10～11(歳),10,10,,,
52,飽和脂肪酸,％エネルギー,12～14(歳),10,10,,,
53,飽和脂肪酸,％エネルギー,15～17(歳),8,8,,,
54,飽和脂肪酸,％エネルギー,18～29(歳),7,7,,,
55,飽和脂肪酸,％エネルギー,30～49(歳),7,7,,,
56,飽和脂肪酸,％エネルギー,50～64(歳),7,7,,,
57,飽和脂肪酸,％エネルギー,65～74(歳),7,7,,,
58,飽和脂肪酸,％エネルギー,75～999(歳),7,7,,,
59,n-6系脂肪酸,g,0～5(月),4,4,,,
60,n-6系脂肪酸,g,6～11(月),4,4,,,
61,n-6系脂肪酸,g,1～2(歳),4,4,,,
62,n-6系脂肪酸,g,3～5(歳),6,6,,,
63,n-6系脂肪酸,g,6～7(歳),8,7,,,
64,n-6系脂肪酸,g,8～9(歳),8,7,,,
65,n-6系脂肪酸,g,10～11(歳),10,8,,,
66,n-6系脂肪酸,g,12～14(歳),11,9,,,
67,n-6系脂肪酸,g,15～17(歳),13,9,,,
68,n-6系脂肪酸,g,18～29(歳),11,8,,,
69,n-6系脂肪酸,g,30～49(歳),10,8,,,
70,n-6系脂肪酸,g,50～64(歳),10,8,,,
71,n-6系脂肪酸,g,65～74(歳),9,8,,,
72,n-6系脂肪酸,g,75～999(歳),8,7,,,
73,n-3系脂肪酸,g,0～5(月),0.9,0.9,,,
74,n-3系脂肪酸,g,6～11(月),0.8,0.8,,,
75,n-3系脂肪酸,g,1～2(歳),0.7,0.8,,,
76,n-3系脂肪酸,g,3～5(歳),1.1,1,,,
77,n-3系脂肪酸,g,6～7(歳),1.5,1.3,,,
78,n-3系脂肪酸,g,8～9(歳),1.5,1.3,,,
79,n-3系脂肪酸,g,10～11(歳),1.6,1.6,,,
80,n-3系脂肪酸,g,12～14(歳),1.9,1.6,,,
81,n-3系脂肪酸,g,15～17(歳),2.1,1.6,,,
82,n-3系脂肪酸,g,18～29(歳),2,1.6,,,
83,n-3系脂肪酸,g,30～49(歳),2,1.6,,,
84,n-3系脂肪酸,g,50～64(歳),2.2,1.9,,,
85,n-3系脂肪酸,g,65～74(歳),2.2,2,,,
86,n-3系脂肪酸,g,75～999(歳),2.1,1.8,,,
87,炭水化物,％エネルギー,0～5(月),0,0,,,
88,炭水化物,％エネルギー,6～11(月),0,0,,,
89,炭水化物,％エネルギー,1～2(歳),62,62,,,
90,炭水化物,％エネルギー,3～5(歳),62,62,,,
91,炭水化物,％エネルギー,6～7(歳),62,62,,,
92,炭水化物,％エネルギー,8～9(歳),62,62,,,
93,炭水化物,％エネルギー,10～11(歳),62,62,,,
94,炭水化物,％エネルギー,12～14(歳),62,62,,,
95,炭水化物,％エネルギー,15～17(歳),62,62,,,
96,炭水化物,％エネルギー,18～29(歳),62,62,,,
97,炭水化物,％エネルギー,30～49(歳),62,62,,,
98,炭水化物,％エネルギー,50～64(歳),62,62,,,
99,炭水化物,％エネルギー,65～74(歳),62,62,,,
100,炭水化物,％エネルギー,75～999(歳),62,62,,,
101,食物繊維,g,0～5(月),0,0,,,
102,食物繊維,g,6～11(月),0,0,,,
103,食物繊維,g,1～2(歳),0,0,,,
104,食物繊維,g,3～5(歳),8,8,,,
105,食物繊維,g,6～7(歳),10,10,,,
106,食物繊維,g,8～9(歳),11,11,,,
107,食物繊維,g,10～11(歳),13,13,,,
108,食物繊維,g,12～14(歳),17,17,,,
109,食物繊維,g,15～17(歳),19,18,,,
110,食物繊維,g,18～29(歳),21,18,,,
111,食物繊維,g,30～49(歳),21,18,,,
112,食物繊維,g,50～64(歳),21,18,,,
113,食物繊維,g,65～74(歳),20,17,,,
114,食物繊維,g,75～999(歳),20,17,,,
115,ビタミンA,μgRAE,0～5(月),300,300,,,
116,ビタミンA,μgRAE,6～11(月),400,400,,,
117,ビタミンA,μgRAE,1～2(歳),400,350,,,
118,ビタミンA,μgRAE,3～5(歳),450,500,,,
119,ビタミンA,μgRAE,6～7(歳),400,400,,,
120,ビタミンA,μgRAE,8～9(歳),500,500,,,
121,ビタミンA,μgRAE,10～11(歳),600,600,,,
122,ビタミンA,μgRAE,12～14(歳),800,700,,,
